record_id,date_time,building_type,city_zone,energy_consumption_kwh,temperature_celsius,occupancy_level,peak_hour,renewable_energy_used_percent,peak_load_risk
201,2024-01-09 08:00:00,Residential,West,241.04,6.1,43,No,50.9,Low
202,2024-01-09 09:00:00,Commercial,North,316.9,14.8,57,No,52.8,High
203,2024-01-09 10:00:00,Residential,Central,415.18,40.3,420,Yes,23.1,High
204,2024-01-09 11:00:00,Commercial,South,392.82,21.6,142,Yes,11.3,Low
205,2024-01-09 12:00:00,Commercial,Central,142.15,33.8,210,No,12.5,Low
206,2024-01-09 13:00:00,Industrial,South,470.74,41.7,72,Yes,51.2,High
207,2024-01-09 14:00:00,Commercial,Central,66.55,21.3,224,Yes,69.8,Low
208,2024-01-09 15:00:00,Industrial,East,438.19,12.7,27,Yes,32.8,Medium
209,2024-01-09 16:00:00,Residential,South,485.62,25.7,128,No,13.6,High
210,2024-01-09 17:00:00,Residential,Central,92.69,41.3,106,No,60.5,High
211,2024-01-09 18:00:00,Residential,North,362.42,37.2,165,Yes,66.6,Medium
212,2024-01-09 19:00:00,Residential,East,24.94,7.6,215,Yes,70.4,Low
213,2024-01-09 20:00:00,Industrial,East,205.68,32.7,71,No,48.5,Low
214,2024-01-09 21:00:00,Residential,North,260.56,27.9,204,No,68.9,High
215,2024-01-09 22:00:00,Commercial,Central,292.42,41.3,153,No,1.2,High
216,2024-01-09 23:00:00,Commercial,West,468.29,9.9,67,No,8.6,Medium
217,2024-01-10 00:00:00,Commercial,North,337.76,26.4,90,No,7.4,Medium
218,2024-01-10 01:00:00,Industrial,Central,243.23,40.2,260,No,57.0,Medium
219,2024-01-10 02:00:00,Residential,North,405.79,21.4,362,Yes,5.6,Medium
220,2024-01-10 03:00:00,Residential,North,475.51,24.3,228,Yes,39.7,High
221,2024-01-10 04:00:00,Residential,South,15.92,7.8,79,No,37.8,Medium
222,2024-01-10 05:00:00,Industrial,Central,491.35,16.1,96,No,24.9,Medium
223,2024-01-10 06:00:00,Commercial,West,47.64,18.0,349,No,69.6,Low
224,2024-01-10 07:00:00,Commercial,South,408.12,42.8,330,Yes,13.6,Medium
225,2024-01-10 08:00:00,Residential,North,143.77,16.3,469,No,28.2,Medium
226,2024-01-10 09:00:00,Commercial,North,70.43,23.4,382,No,61.9,Low
227,2024-01-10 10:00:00,Commercial,North,222.73,31.9,246,Yes,2.4,High
228,2024-01-10 11:00:00,Industrial,Central,323.76,11.5,272,No,53.8,Medium
229,2024-01-10 12:00:00,Industrial,Central,193.57,24.5,495,No,65.3,High
230,2024-01-10 13:00:00,Industrial,South,32.01,34.5,403,No,74.6,Low
231,2024-01-10 14:00:00,Industrial,West,301.73,39.7,157,No,70.1,Medium
232,2024-01-10 15:00:00,Residential,South,451.69,30.1,116,No,25.6,Low
233,2024-01-10 16:00:00,Industrial,East,194.69,31.8,435,No,46.9,High
234,2024-01-10 17:00:00,Commercial,North,112.08,10.1,18,Yes,6.2,Low
235,2024-01-10 18:00:00,Residential,North,224.08,42.8,442,Yes,20.6,Medium
236,2024-01-10 19:00:00,Commercial,North,28.94,10.3,172,No,7.5,Medium
237,2024-01-10 20:00:00,Commercial,South,411.14,36.0,16,No,25.2,Low
238,2024-01-10 21:00:00,Commercial,South,414.04,15.6,449,No,70.0,High
239,2024-01-10 22:00:00,Industrial,North,296.06,42.3,240,No,27.8,High
240,2024-01-10 23:00:00,Industrial,South,179.79,33.8,386,Yes,45.0,Low
241,2024-01-11 00:00:00,Residential,Central,400.89,35.2,56,No,34.7,Low
242,2024-01-11 01:00:00,Residential,Central,279.57,13.8,79,Yes,36.7,Low
243,2024-01-11 02:00:00,Industrial,South,413.84,22.7,103,No,77.6,Low
244,2024-01-11 03:00:00,Commercial,North,317.57,29.7,284,No,23.7,High
245,2024-01-11 04:00:00,Residential,South,393.28,35.8,193,No,50.2,High
246,2024-01-11 05:00:00,Industrial,South,301.29,9.2,5,Yes,33.6,Low
247,2024-01-11 06:00:00,Industrial,South,210.0,43.5,106,Yes,4.9,Medium
248,2024-01-11 07:00:00,Industrial,East,479.18,40.6,278,No,39.1,Medium
249,2024-01-11 08:00:00,Commercial,Central,272.85,15.8,373,No,65.1,Low
250,2024-01-11 09:00:00,Industrial,West,304.52,37.9,100,No,7.9,Low
251,2024-01-11 10:00:00,Industrial,West,114.14,25.7,238,Yes,5.6,Low
252,2024-01-11 11:00:00,Industrial,East,314.7,23.5,269,No,12.3,Medium
253,2024-01-11 12:00:00,Industrial,South,287.95,17.6,321,No,61.2,Medium
254,2024-01-11 13:00:00,Residential,East,96.5,28.2,400,Yes,57.9,Medium
255,2024-01-11 14:00:00,Residential,East,34.5,34.2,489,No,45.2,Low
256,2024-01-11 15:00:00,Industrial,North,304.16,21.4,86,Yes,37.5,High
257,2024-01-11 16:00:00,Commercial,Central,383.03,30.2,320,No,71.1,Medium
258,2024-01-11 17:00:00,Residential,West,264.08,33.0,32,No,61.3,High
259,2024-01-11 18:00:00,Industrial,South,117.25,33.4,336,No,65.0,Low
260,2024-01-11 19:00:00,Residential,West,334.93,7.1,51,No,65.1,High
261,2024-01-11 20:00:00,Residential,West,44.65,39.4,79,No,51.4,High
262,2024-01-11 21:00:00,Commercial,Central,223.71,23.3,186,Yes,36.6,Low
263,2024-01-11 22:00:00,Industrial,West,85.87,15.5,174,No,69.2,Low
264,2024-01-11 23:00:00,Industrial,West,96.31,14.7,436,No,74.1,High
265,2024-01-12 00:00:00,Commercial,East,105.14,24.3,106,Yes,1.9,Medium
266,2024-01-12 01:00:00,Commercial,Central,196.42,40.5,63,Yes,4.1,High
267,2024-01-12 02:00:00,Industrial,North,30.32,20.1,76,No,76.7,Medium
268,2024-01-12 03:00:00,Industrial,South,201.91,35.0,316,Yes,22.2,Medium
269,2024-01-12 04:00:00,Commercial,West,258.3,8.9,321,Yes,69.9,Low
270,2024-01-12 05:00:00,Residential,South,244.23,24.0,373,No,31.1,Low
271,2024-01-12 06:00:00,Residential,North,194.48,44.7,81,Yes,9.5,High
272,2024-01-12 07:00:00,Commercial,South,420.38,35.8,361,No,6.4,Low
273,2024-01-12 08:00:00,Residential,North,76.94,13.4,128,Yes,12.5,Low
274,2024-01-12 09:00:00,Commercial,East,255.32,25.1,183,No,20.0,Medium
275,2024-01-12 10:00:00,Residential,West,35.71,14.3,243,No,39.1,Medium
276,2024-01-12 11:00:00,Residential,North,40.22,21.4,185,No,56.1,Low
277,2024-01-12 12:00:00,Industrial,South,289.06,36.2,498,Yes,78.9,Low
278,2024-01-12 13:00:00,Industrial,West,285.18,35.8,220,No,35.3,Medium
279,2024-01-12 14:00:00,Residential,East,439.63,14.1,71,No,41.5,Low
280,2024-01-12 15:00:00,Residential,West,281.15,41.9,457,No,41.7,Medium
281,2024-01-12 16:00:00,Industrial,North,480.1,28.7,342,Yes,43.2,Low
282,2024-01-12 17:00:00,Industrial,East,29.1,20.2,154,Yes,41.4,High
283,2024-01-12 18:00:00,Industrial,South,53.51,25.1,245,No,0.7,High
284,2024-01-12 19:00:00,Commercial,East,26.81,29.2,140,Yes,0.1,Medium
285,2024-01-12 20:00:00,Residential,East,96.71,27.4,71,No,7.8,Low
286,2024-01-12 21:00:00,Industrial,Central,272.93,24.5,46,Yes,8.1,Medium
287,2024-01-12 22:00:00,Residential,East,324.56,25.2,47,No,56.4,Low
288,2024-01-12 23:00:00,Commercial,East,27.56,12.1,79,No,16.4,Low
289,2024-01-13 00:00:00,Commercial,West,473.26,37.5,422,No,71.6,High
290,2024-01-13 01:00:00,Industrial,South,421.87,26.7,149,No,74.3,Medium
291,2024-01-13 02:00:00,Commercial,West,151.82,10.2,398,No,78.1,High
292,2024-01-13 03:00:00,Residential,West,43.21,35.6,130,No,75.1,Low
293,2024-01-13 04:00:00,Industrial,North,89.09,42.3,456,No,21.8,Low
294,2024-01-13 05:00:00,Residential,West,67.84,42.9,127,No,40.8,High
295,2024-01-13 06:00:00,Residential,Central,66.03,19.8,365,No,14.0,Medium
296,2024-01-13 07:00:00,Commercial,Central,261.69,10.4,119,Yes,64.5,Medium
297,2024-01-13 08:00:00,Commercial,North,126.69,25.7,454,No,71.1,Medium
298,2024-01-13 09:00:00,Commercial,South,182.28,9.5,485,Yes,68.1,Low
299,2024-01-13 10:00:00,Commercial,South,494.81,42.4,357,No,34.7,Medium
300,2024-01-13 11:00:00,Commercial,West,343.74,12.3,417,No,60.7,Low
301,2024-01-13 12:00:00,Industrial,West,474.75,15.1,489,No,7.8,Medium
302,2024-01-13 13:00:00,Residential,West,75.57,21.3,262,No,3.2,Medium
303,2024-01-13 14:00:00,Residential,South,194.16,20.3,244,No,60.3,High
304,2024-01-13 15:00:00,Residential,East,279.59,36.8,474,Yes,34.0,Medium
305,2024-01-13 16:00:00,Residential,Central,43.0,23.3,382,No,79.6,Low
306,2024-01-13 17:00:00,Commercial,East,7.07,11.8,103,Yes,7.8,Medium
307,2024-01-13 18:00:00,Residential,East,336.86,15.7,489,No,68.5,Low
308,2024-01-13 19:00:00,Industrial,South,322.7,25.4,37,Yes,38.4,Low
309,2024-01-13 20:00:00,Industrial,East,208.34,10.9,142,Yes,66.2,Low
310,2024-01-13 21:00:00,Residential,North,247.37,29.5,37,No,65.4,Medium
311,2024-01-13 22:00:00,Residential,West,210.64,27.6,8,Yes,73.3,Low
312,2024-01-13 23:00:00,Industrial,North,16.88,33.6,231,No,23.8,Medium
313,2024-01-14 00:00:00,Industrial,Central,171.01,42.5,333,Yes,76.0,High
314,2024-01-14 01:00:00,Commercial,West,92.66,41.5,397,No,12.1,Medium
315,2024-01-14 02:00:00,Industrial,East,53.72,42.8,296,No,6.6,Low
316,2024-01-14 03:00:00,Commercial,Central,478.58,14.8,107,Yes,34.5,Low
317,2024-01-14 04:00:00,Commercial,West,301.68,10.3,348,Yes,66.3,Medium
318,2024-01-14 05:00:00,Commercial,East,365.68,17.1,442,No,37.9,High
319,2024-01-14 06:00:00,Commercial,North,161.11,40.8,18,Yes,66.3,Low
320,2024-01-14 07:00:00,Commercial,West,199.61,43.9,313,No,58.4,High
321,2024-01-14 08:00:00,Residential,East,122.28,39.4,83,Yes,16.8,Medium
322,2024-01-14 09:00:00,Industrial,North,53.0,9.4,422,Yes,75.9,Medium
323,2024-01-14 10:00:00,Commercial,Central,93.62,42.9,288,No,4.9,High
324,2024-01-14 11:00:00,Industrial,Central,399.77,21.9,470,Yes,71.9,Medium
325,2024-01-14 12:00:00,Industrial,Central,340.39,5.4,194,No,24.4,High
326,2024-01-14 13:00:00,Commercial,Central,275.73,22.7,461,Yes,40.0,Low
327,2024-01-14 14:00:00,Residential,South,240.17,6.8,215,Yes,33.8,Medium
328,2024-01-14 15:00:00,Commercial,West,461.6,26.8,281,No,13.7,Medium
329,2024-01-14 16:00:00,Residential,West,41.0,18.5,220,No,28.7,Low
330,2024-01-14 17:00:00,Industrial,South,143.9,23.9,442,No,15.4,Medium
331,2024-01-14 18:00:00,Residential,East,178.22,29.5,459,Yes,16.3,Low
